name,slug,alias_names,animagus,blood_status,boggart,born,died,eye_color,family_members,gender,hair_color,height,house,image,jobs,marital_status,nationality,patronus,romances,skin_color,species,titles,wands,weight,wiki
James Sirius Potter,james-potter-ii,{},,Half-blood,,Between 1 September 2003 and 31 August 2004,,,"{""Harry Potter (father)"", ""Ginevra Potter (née Weasley) (mother)"", ""Albus Potter (younger brother)"", ""Lily L. Potter (younger sister)"", ""William Weasley (maternal uncle)"", ""Charles Weasley (maternal uncle)"", ""Percy Weasley (maternal uncle)"", ""Fred Weasley (maternal uncle) †"", ""George Weasley (maternal uncle)"", ""Ronald Weasley (maternal uncle)"", ""Fleur Weasley (née Delacour) (maternal aunt by marriage)"", ""Audrey Weasley (maternal aunt by marriage)"", ""Angelina Weasley (née Johnson) (maternal aunt by marriage)"", ""Hermione Granger (maternal aunt by marriage)"", ""Padma Patil (maternal aunt by marriage in alternate timeline)"", ""Victoire Weasley (maternal first cousin)"", ""Dominique Weasley (maternal first cousin)"", ""Louis Weasley (maternal first cousin)"", ""Molly Weasley II (maternal first cousin)"", ""Lucy Weasley (maternal first cousin)"", ""Fred Weasley II (maternal first cousin)"", ""Roxanne Weasley (maternal first cousin)"", ""Rose Granger-Weasley (maternal first cousin)"", ""Hugo Granger-Weasley (maternal first cousin)"", ""Panju Weasley (maternal first cousin in alternate timeline)"", ""James Potter I (paternal grandfather) †"", ""Lily J. Potter (née Evans) (paternal grandmother) †"", ""Arthur Weasley (maternal grandfather)"", ""Molly Weasley (née Prewett) (maternal grandmother)"", ""Linfred of Stinchcombe (paternal ancestor) †"", ""Ignotus Peverell (paternal ancestor) †"", ""Paternal ancestor †"", ""Hardwin Potter (paternal ancestor) †"", ""Iolanthe Potter (née Peverell) (paternal ancestor) †"", ""Potter family"", ""Weasley family (maternal family)"", ""Evans family (paternal relatives)"", ""Prewett family (maternal relatives)"", ""Peverell family (paternal ancestors)"", ""House of Black (maternal ancestors)"", ""Flint family (maternal ancestors)"", ""Fleamont family (paternal ancestors)"", ""Yaxley family (maternal ancestors)""}",Male,,,Gryffindor,https://static.wikia.nocookie.net/harrypotter/images/a/a0/James_Sirius_Potter_DHF2.jpg,{},Single,English,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/James_Potter_II
James Potter II's friends,james-potter-ii-s-friends,{},,,,Between 1 September 1999 and 31 August 2006,,,{},,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/James_Potter_II's_friends
James Potter II's owl,james-potter-ii-s-owl,{},,,,,,,{},,,,,https://static.wikia.nocookie.net/harrypotter/images/a/a8/James_Potter_II%27s_owl.png,{},,,,{},,Owl,{},{},,https://harrypotter.fandom.com/wiki/James_Potter_II's_owl
James Steward,james-steward,{},,Muggle,,"England, Great Britain",After 1703,,"{""Martha Steward (mother) †"", ""Isolt Sayre (wife) †"", ""Chadwick Boot (adoptive son)"", ""Webster Boot (adoptive son)"", ""Martha Steward II (daughter)"", ""Rionach Steward (daughter)"", ""William Sayre (father-in-law) †"", ""Rionach Sayre (née Gaunt) (mother-in-law) †"", ""Josefina Calderon (adoptive daughter-in-law)"", ""Webster Boot's wife (adoptive daughter-in-law)"", ""Son-in-law"", ""Steward family"", ""Sayre family (in-laws)""}",Male,Dark,,,https://static.wikia.nocookie.net/harrypotter/images/2/28/JamesSteward.png,"{""Stonemason"", ""Founder and co-Headmaster of Ilvermorny School of Witchcraft and Wizardry"", ""Wandmaker""}",Married,English,,"{""Isolt Sayre (wife) †""}",White,Human,"{""Founder"", ""Headmaster""}",{},,https://harrypotter.fandom.com/wiki/James_Steward
James Tuckett,james-tuckett-i,{},,,,31 August 1982 or earlier,,,{},Male,,,Hufflepuff,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/James_Tuckett_(I)
James Tuckett,james-tuckett-ii,{},,,,between 1 September 1984 and 31 August 1985,,,"{""James Tuckett (I) (possibly)""}",Male,,,Hufflepuff,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/James_Tuckett_(II)
James and Lily Potter's Muggle betrayer,james-and-lily-potter-s-muggle-betrayer,{},,Muggle,,Before 1981,,,{},,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/James_and_Lily_Potter's_Muggle_betrayer
Jamie Wolpert,jamie-wolpert-in-universe,{},,Muggle,,In or prior to 1978,,,"{""Nigel Wolpert (Possibly)""}",Male,,,,,"{""Journalist for The Guardian""}",,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jamie_Wolpert_(in-universe)
Jan Kowalski,jan-kowalski,{},,,,,,,"{""Jacob Kowalski (possibly)""}",Male,,,,,{},,Polish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jan_Kowalski
Jane Austen,jane-austen,{},,Muggle,,16 December 1775,18 July 1817,,{},Female,,,,,"{""Author""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jane_Austen
Jane Court,jane-court,{},,,,Between 1 September 1968 and 31 August 1969,,Brown,{},Female,Blonde,,Hufflepuff,https://static.wikia.nocookie.net/harrypotter/images/2/2d/Jane_Court_HM_profile.png,{},,British or Irish,,{},Light,Human,"{""Prefect""}","{""Unknown length, wood and core""}",,https://harrypotter.fandom.com/wiki/Jane_Court
Janek,janek,{},,No-Maj,,Before 1926,,,{},,,,,,"{""Tailor and co-owner of Janek & Pelowski Co.""}",,American,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Janek
Janice Pepper,janice-pepper,{},,Muggle-born,,,,,"{""Hugo Pepper (brother)"", ""Pepper family""}",Female,,,,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Janice_Pepper
Janus Thickey,janus-thickey,{},,,,,,,"{""Wife"", ""Children""}",Male,,,,,{},Married,British,,"{""Wife (formerly)"", ""Landlady of the Green Dragon pub""}",,Human,{},{},,https://harrypotter.fandom.com/wiki/Janus_Thickey
Janus Thickey's children,janus-thickey-s-children,{},,"Pure-blood or half-blood, or Squib",,,,,"{""Janus Thickey (father)"", ""Mrs Thickey (mother)""}",,,,,,{},,,,{},,Humans,{},{},,https://harrypotter.fandom.com/wiki/Janus_Thickey's_children
Mrs Thickey,janus-thickey-s-wife,{},,,,,,,"{""Janus Thickey (husband)"", ""Children""}",Female,,,,,{},Married,,,"{""Janus Thickey""}",,Human,{},{},,https://harrypotter.fandom.com/wiki/Janus_Thickey's_wife
Jarleth Hobart,jarleth-hobart,{},,,,,,Green,{},Male,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/1/1b/JarlethHobart.png,{},,British,,{},Light,Human,"{""Warlock""}",{},,https://harrypotter.fandom.com/wiki/Jarleth_Hobart
Jarrett,jarrett,{},,,,c. 1970s,,,{},,,,,,{},,British or Irish,,{},,Human,"{""Chaser""}",{},,https://harrypotter.fandom.com/wiki/Jarrett
Jasichus,jasichus,{},,,,,,,"{""Calid (son)""}",Male,,,,,{},,Persian,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jasichus
Jason Caffoe,jason-caffoe,{},,,,,,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/b/b6/Jason_Caffoe.jpeg,{},,American,,{},,,{},{},,https://harrypotter.fandom.com/wiki/Jason_Caffoe
Jason Charmer,jason-charmer,{},,,,Between 1705 and 1709,,,{},Male,,,Gryffindor,https://static.wikia.nocookie.net/harrypotter/images/a/a2/Gryffindor_Quidditch_Captains_Plaque.jpg,{},,British or Irish,,{},,Human,"{""Captain""}",{},,https://harrypotter.fandom.com/wiki/Jason_Charmer
Jason Denbright,jason-denbright,{},,,,,,,"{""Alison Denbright (unknown)""}",Male,,,,,{},,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jason_Denbright
Jason Huntingdon,jason-huntingdon,{},,,,31 August 1982 or earlier,,,{},Male,Brown,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/4/4a/Jason_Huntingdon.jpg,{},,British or Irish,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Jason_Huntingdon
Jason Samuels,jason-samuels,{},,,,31 August 1981 or earlier (most likely),,,{},Male,Blonde,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/1/1b/Jasonsamuelsqwc.png,{},,British or Irish,,{},White,Human,"{""Beater""}",{},,https://harrypotter.fandom.com/wiki/Jason_Samuels
Jason Swann,jason-swann,{},,,,31 August 1982 or earlier,,Blue,{},Male,Blond,,Gryffindor,https://static.wikia.nocookie.net/harrypotter/images/2/28/Jason_Swann.jpg,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Jason_Swann
Jasper Trout,jasper-trout,{},,,,Before 1890,,,{},Male,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/9/9f/Jasper_Trout_HL.jpg,"{""Innkeeper""}",,British,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Jasper_Trout
Jatin Agarkar,jatin-agarkar,{},,,,31 August 1982 or earlier,,,{},Male,,,Ravenclaw,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jatin_Agarkar
Jay,jay,{},,,,Before 2006,,,{},Male,,,,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jay
Jay's friend,jay-s-friend,{},,,,Before 2006,,,{},Male,,,,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jay's_friend
Jean-Baptiste Bloncourt,jean-baptiste-bloncourt,{},,,,"After 1976, Haiti (possibly)",,,{},Male,,,,,"{""Beater for the Haitian National Quidditch team""}",,Haitian,,{},,Human,"{""Beater""}",{},,https://harrypotter.fandom.com/wiki/Jean-Baptiste_Bloncourt
Jean-Jacques Launier,jean-jacques-launier,{},,,,,,,{},Male,,,,,"{""Writer for a French-language wizarding newspaper""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jean-Jacques_Launier
Jemima Collins,jemima-collins,{},,,,Before 1890,,,{},Female,,,,,"{""Newspaper seller""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jemima_Collins
Jenna Hexsmith,jenna-hexsmith,{},,,,Between 1 September 1990 and 31 August 1997,,Brown,{},Female,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/6/68/Jenna_Hexsmith_MA.png,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Jenna_Hexsmith
Jenna Jovius,jenna-jovius,{},,,,,,,{},,,,,,{},,,,{},,,{},{},,https://harrypotter.fandom.com/wiki/Jenna_Jovius
Jennifer Dawn,jennifer-dawn,{},,,,,,,{},Female,,,Gryffindor,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jennifer_Dawn
Jennifer Winston,jennifer-winston,{},,,,,Reported missing in 1997,,{},Female,,,,,{},,,,{},,,{},{},,https://harrypotter.fandom.com/wiki/Jennifer_Winston
Jeremiah Garnet,jeremiah-garnet,{},,,,,,Grey,{},Male,Blond,,,https://static.wikia.nocookie.net/harrypotter/images/0/0f/Jeremiah_Garnet.png,"{""Reporter for the Wizarding Wireless Network""}",,British,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Jeremiah_Garnet
Jeremius Wardwart,jeremius-wardwart,{},,,,,,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/7/73/Jeremius_Wardwart.jpg,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jeremius_Wardwart
Jeremy Clarkson,jeremy-clarkson,{},,Muggle,,,,,{},Male,,,,,"{""Host of Top Gear (2002 - 2015)""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jeremy_Clarkson
Jeremy Stretton,jeremy-stretton,{},,,,"31 August 1981 or earlier (most likely),",,Brown,"{""Imogen Stretton (possibly)"", ""Stretton family""}",Male,Brown,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/0/06/Jeremy_Stretton_Cleansweep_Seven.jpg,{},,British or Irish,,{},Light,Human,"{""Chaser""}",{},,https://harrypotter.fandom.com/wiki/Jeremy_Stretton
Jerome,jerome,{},,,,c. 27 March 347,30 September 420,,{},Male,,,,,"{""Theologian"", ""Historian""}",,,,{},,Human,"{""Saint""}",{},,https://harrypotter.fandom.com/wiki/Jerome
Jessamine,jessamine,{},,,,c. 1810,,,{},Female,,,,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jessamine
Jessica Tring,jessica-tring,{},,,,31 August 1982 or earlier,,,{},Female,,,Hufflepuff,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jessica_Tring
Jesus,jesus,"{""Jesus of Nazareth"", ""Jesus Christ""}",,,,,,,"{""God (father, in Christian belief)"", ""Mary (mother)""}",Male,,,,https://static.wikia.nocookie.net/harrypotter/images/7/77/JesusDeathlyHallows.jpg,{},,,,{},,"Human, Deity (in Christian belief)",{},{},,https://harrypotter.fandom.com/wiki/Jesus
Jim,jim,{},,Muggle,,,,,{},Male,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jim
Jim Hamilton,jim-hamilton,{},,Squib (suspected),,"17 November, 1982, Swindon, Wiltshire, England",,,"{""Rubeus Hagrid (possible relation)""}",Male,,,,,"{""Rugby union player""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jim_Hamilton
Jim Luna,jim-luna,{},,,,,,,{},Male,,,,,"{""Author""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jim_Luna
Jim McGuffin,jim-mcguffin,{},,Muggle,,,,,{},Male,,,,,"{""Meteorologist""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jim_McGuffin
Jimbo Blishwick,jimbo-blishwick,{},,Pure-blood,,,,,"{""Misapinoa Black (wife) †"", ""Blishwick family"", ""House of Black (in-laws)""}",Male,,,,https://static.wikia.nocookie.net/harrypotter/images/f/fa/JimboBlishwick.jpg,{},Married,,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Jimbo_Blishwick
Jimmy Kiddell,jimmy-kiddell,{},,,,,,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/1/14/JimmyKiddellsWonderfulWands.jpg,"{""Wandmaker and owner of the shop Jimmy Kiddell's Wonderful Wands""}",,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jimmy_Kiddell
Jimmy Peakes,jimmy-peakes,{},,Pure-blood or half-blood,,"Between 1 September 1982 and 31 August 1983, Great Britain",,,"{""Glanmore Peakes (possible relative)"", ""Sean Peakes (possible relative)"", ""Peakes family""}",Male,,,Gryffindor,https://static.wikia.nocookie.net/harrypotter/images/8/8d/Jimmy_Peakes.png,{},,British or Irish,,{},,Human,"{""Beater""}",{},,https://harrypotter.fandom.com/wiki/Jimmy_Peakes
João Coelho,joao-coelho,{},,,,"Before 1999, South America",,,{},Male,,,,,"{""Captain for the Tarapoto Tree-Skimmers""}",,,,{},,Human,"{""Captain""}",{},,https://harrypotter.fandom.com/wiki/João_Coelho
Jo King,jo-king-gryffindor,{},,,,c. 1970s - 1980s,,,"{""Jo King (possibly)"", ""R. J. H. King (possibly)"", ""King family""}",Female,,,Gryffindor,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jo_King_(Gryffindor)
Jo King,jo-king-slytherin,{},,,,c. 1940s,,,"{""R. J. H. King (possibly)"", ""Jo King (possibly)"", ""King family""}",Female,,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/f/f2/Slytherin_House_Captain%27s_Plaque.jpg,{},,British or Irish,,{},,Human,"{""Captain""}",{},,https://harrypotter.fandom.com/wiki/Jo_King_(Slytherin)
Joan Kerridge,joan-kerridge,{},,,,on or prior to 31 August 1982,,,{},Female,,,Ravenclaw,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Joan_Kerridge
Joan Maguire Cook,joan-maguire-cook,{},,Muggle,,,,,{},,,,,,{},Single,,,{},,Human,"{""Miss""}",{},,https://harrypotter.fandom.com/wiki/Joan_Maguire_Cook
Jocunda Sykes,jocunda-sykes,{},,,,1915,,Blue,"{""Alex Sykes (I) (possibly)"", ""Alex Sykes (II) (possibly)"", ""Sykes family""}",Female,Blonde,,,https://static.wikia.nocookie.net/harrypotter/images/e/e2/Jocunda_Sykes.png,"{""Broom flyer""}",,,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Jocunda_Sykes
Jodelle Lestrange (née Volant),jodelle-lestrange,{},,Pure-blood,,,,,"{""Floxel Lestrange (husband)"", ""Quintilla Lestrange (daughter)"", ""Cyrille Lestrange (father-in-law)"", ""Luminosa Lestrange (née Trouche) (mother-in-law)"", ""Cyrille Lestrange (brother-in-law)"", ""Fulcran Lestrange (son-in-law)"", ""Nozéa Lestrange (granddaughter)"", ""Volant family"", ""Lestrange family""}",Female,,,,https://static.wikia.nocookie.net/harrypotter/images/e/e3/Jodelle_Volant.jpg,{},Married,French,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jodelle_Lestrange
Jodie Pritchard,jodie-pritchard,{},,,,Prior to 1992,,,"{""Graham Pritchard (possible relative)""}",Female,,,,,"{""Author (possibly)""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jodie_Pritchard
Jody Jacknife,jody-jacknife,{},,,,c. 1950s,,,{},Female,,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/f/f2/Slytherin_House_Captain%27s_Plaque.jpg,{},,British or Irish,,{},,Human,"{""Quidditch Captain""}",{},,https://harrypotter.fandom.com/wiki/Jody_Jacknife
Joe Laurie,joe-laurie,{},,,,,,,{},Male,,,,,{},,,,{},,,{},{},,https://harrypotter.fandom.com/wiki/Joe_Laurie
Joe McGee,joe-mcgee,{},,,,31 August 1982 or earlier,,,{},Male,,,Gryffindor,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Joe_McGee
Joey Jenkins,joey-jenkins,{},,,,In or before 1977,,,{},Male,,,,,"{""Beater for the Chudley Cannons""}",,British,,{},,Human,"{""Beater""}",{},,https://harrypotter.fandom.com/wiki/Joey_Jenkins
Johan Hoffman,johan-hoffman,{},,,,Prior to 1665,,,{},Male,,,,,"{""Professional Seer""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Johan_Hoffman
Johann Agardh,johann-agardh,{},,,,,,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/1/12/Jomauh_agardh.png,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Johann_Agardh
Johanna Bickle,johanna-bickle,{},,,,Before 1890,,,"{""Husband †"", ""Archie Bickle (son)"", ""Bickle family""}",Female,,,,https://static.wikia.nocookie.net/harrypotter/images/d/d8/Johanna_Bickle_HL.png,{},Widowed,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Johanna_Bickle
Mr Bickle,johanna-bickle-s-husband,{},,,,Before 1890,1890/1891,,"{""Johanna Bickle (wife)"", ""Archie Bickle (son)"", ""Bickle family""}",Male,,,,,{},Married,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Johanna_Bickle's_husband
Johannes Jonker,johannes-jonker,{},,No-Maj-born,,In or before 1909 (likely),,,"{""Mr Jonker (father)"", ""Jonker family""}",Male,,,,,"{""Wandmaker""}",,American,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Johannes_Jonker
Jonker,johannes-jonker-s-father,{},,No-Maj,,,,,"{""Johannes Jonker (son)"", ""Jonker family""}",Male,,,,,"{""Cabinet maker""}",,American,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Johannes_Jonker's_father
John,john,"{""John the Evangelist""}",,,,,,,{},Male,,,,,"{""Writer""}",,,,{},,Human,"{""Saint""}",{},,https://harrypotter.fandom.com/wiki/John
John Bastedo,john-bastedo,"{""Wolf""}",,,,,,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/c/c6/John_Bastedo_-_wanted_poster.png,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/John_Bastedo
John Bunyan,john-bunyan,{},,,,30 November 1628 (baptised),31 August 1688,,{},Male,,,,,"{""Writer""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/John_Bunyan
John Constable,john-constable,{},,Muggle,,11 June 1776,31 March 1837,,{},Male,,,,,"{""Painter""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/John_Constable
John Dawlish,john-dawlish,{},,Pure-blood or Half-blood,,Between Pre-1975,,,"{""Helen Dawlish (possibly)""}",Male,Grey,,,https://static.wikia.nocookie.net/harrypotter/images/6/67/John_Dawlish_OOTP.jpg,"{""Auror""}",,British or Irish,,{},,Human,{},"{""Unknown length, wood and core""}",,https://harrypotter.fandom.com/wiki/John_Dawlish
John Garry,john-garry,{},,No-Maj,,,,,{},Male,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/John_Garry
John A. Haas,john-haas,{},,No-Maj,,c. 1903,,,{},Male,,,,,"{""Bookkeeper for the Columbia Bank""}",,American,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/John_Haas
John Homme,john-homme,{},,,,,,,{},Male,,,,,"{""Painter""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/John_Homme
John Joseph Merlin,john-joseph-merlin,{},,Muggle,,1735,1803,,{},Male,,,,,"{""Inventor""}",,Belgian,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/John_Joseph_Merlin
John Kent,john-kent,{},,Muggle,,,,,{},Male,,,,,"{""Greengrocer""}",,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/John_Kent
John Stevenson,john-stevenson,{},,,,,"9 April, 19??",,"{""Dinah Stevenson (wife)†""}",Male,,,,https://static.wikia.nocookie.net/harrypotter/images/b/b1/JohnAndDinahStevensonGrave.jpg,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/John_Stevenson
John Talisker,john-talisker,{},,,,,,,{},Male,,,,,"{""Captain of the Scottish National Quidditch team"", ""Statute of Secrecy Task Force member""}",,British,,{},,Human,"{""Captain""}",{},,https://harrypotter.fandom.com/wiki/John_Talisker
John Terry,john-terry,{},,Muggle,,,,,{},Male,,,,,"{""Footballer""}",,,,{},,Human,"{""Captain""}",{},,https://harrypotter.fandom.com/wiki/John_Terry
Jonathan Spratt,jonathan-spratt,{},,,,Between 1975 and 1978,,,{},Male,,,,,{},,British or Irish,,{},,Human,"{""Prefect""}",{},,https://harrypotter.fandom.com/wiki/Jonathan_Spratt
Jonny Anomaly,jonny-anomaly,{},,Muggle,,,,,{},Male,,,,,"{""Magician""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jonny_Anomaly
Jonny Nuhaka,jonny-nuhaka,{},,,,,,,{},Male,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/9/9c/Jonny_Nuhaka_-_card_HBP-NDS.png,"{""Keeper for the Australian National Quidditch team""}",,Australian,,{},Light,Human,"{""Keeper""}",{},,https://harrypotter.fandom.com/wiki/Jonny_Nuhaka
Jordan,jordan,{},,,,Before 1991,,Grey,{},Male,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/d/d8/Jordan_HM8.png,"{""Club referee of the Toothill Duelling Club""}",,British,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Jordan
Jordanna Bodiment,jordanna-bodiment,{},,,,,,,{},Female,,,,,"{""Quidditch trainer for the Holyhead Harpies""}",,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Jordanna_Bodiment
José Barboza,jose-barboza,{},,,,"before 1997, (most likely), Brazil",,,{},Male,,,,,"{""Manager of the Brazilian National Quidditch team""}",,,,{},,Human,"{""Manager""}",{},,https://harrypotter.fandom.com/wiki/José_Barboza
Joscelind Wadcock,joscelind-wadcock,{},,,,1911,,Blue,{},Female,Light brown,,,https://static.wikia.nocookie.net/harrypotter/images/b/be/Jocelind_Wadcock.jpg,"{""Chaser of Puddlemere United""}",,British,,{},White,Human,"{""Chaser""}",{},,https://harrypotter.fandom.com/wiki/Joscelind_Wadcock
Josef Wronski,josef-wronski,{},,,,"before 1978, Poland (possibly)",,,{},Male,,,,,"{""Seeker for the Grodzisk Goblins""}",,Polish,,{},,Human,"{""Seeker""}",{},,https://harrypotter.fandom.com/wiki/Josef_Wronski
Josefina Calderon,josefina-calderon,{},,,,"Year unknown, New Spain",,,"{""Chadwick Boot (husband)"", ""At least one child"", ""Father-in-law †"", ""Mother-in-law †"", ""Isolt Sayre (adoptive mother-in-law) †"", ""James Steward (adoptive father-in-law) †"", ""Webster Boot (brother-in-law)"", ""Rionach Steward (adoptive sister-in-law)"", ""Martha Steward II (adoptive sister-in-law)"", ""Martha Steward II's husband (adoptive brother-in-law)"", ""Calderon family"", ""Calderon-Boot family""}",Female,,,,https://static.wikia.nocookie.net/harrypotter/images/5/5d/PMFT_Josefina_Calderon.png,"{""Healer""}",Married,Mexican,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Josefina_Calderon
Joseph Edwards,joseph-edwards,{},,,,,,,{},Male,,,,,"{""Inventor and/or manufacturer of Joseph Edwards' Fish Fancies""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Joseph_Edwards
Joseph H. Friend,joseph-friend,{},,No-Maj,,,,,{},Male,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Joseph_Friend
Joseph Heller,joseph-heller,{},,Muggle,,"1 May, 1923","12 December, 1999",,{},Male,,,,,"{""Author""}",,American,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Joseph_Heller
Joseph Snuka,joseph-snuka,{},,,,After 1976,,,{},Male,,,,,"{""Seeker for the Fijian National Quidditch team""}",,Fijian,,{},,Human,"{""Seeker""}",{},,https://harrypotter.fandom.com/wiki/Joseph_Snuka
Josephina Flint,josephina-flint,{},,Pure-blood or half-blood,,Before 1802,,,"{""Flint family""}",Female,,,,,"{""British Minister for Magic (1819–1827)""}",,British,,{},,Human,"{""Minister for Magic""}",{},,https://harrypotter.fandom.com/wiki/Josephina_Flint
Josephine,josephine,{},,,,In or before 2021,,,{},Female,,,,,{},,,,{},,Zouwu,{},{},,https://harrypotter.fandom.com/wiki/Josephine
Josephine Kay,josephine-kay,{},,,,,,,{},Female,,,,https://static.wikia.nocookie.net/harrypotter/images/e/e5/Josephine_Kay.png,{},,,,{},,,{},{},,https://harrypotter.fandom.com/wiki/Josephine_Kay
Josephine Marat,josephine-marat,{},,,,,,Brown,{},Female,Blonde,,,https://static.wikia.nocookie.net/harrypotter/images/9/9d/Josephine_Marat.png,"{""Chaser and Captain of the French National Quidditch team""}",,French,,{},Tanned,Human,"{""Chaser"", ""Captain""}",{},,https://harrypotter.fandom.com/wiki/Josephine_Marat
